tbl,col,type,rows,non_null,null_pct
sys_assessment_results,assessment_result_assessor_user_id,uuid,1560,0,100.0
sys_assessment_results,assessment_result_recorded_at,timestamp with time zone,1560,1560,0.0
sys_assessment_results,assessment_result_metadata,jsonb,1560,1560,0.0
sys_assessment_results,created_at,timestamp with time zone,1560,1560,0.0
sys_assessments,assessment_id,uuid,615,615,0.0
sys_assessments,assessment_tenant_id,uuid,615,615,0.0
sys_assessments,assessment_subject_user_id,uuid,615,615,0.0
sys_assessments,assessment_method_id,uuid,615,0,100.0
sys_assessments,assessment_kind,character varying,615,615,0.0
sys_assessments,assessment_period_start,date,615,0,100.0
sys_assessments,assessment_period_end,date,615,303,50.7
sys_assessments,assessment_status,character varying,615,615,0.0
sys_assessments,assessment_metadata,jsonb,615,615,0.0
sys_assessments,created_at,timestamp with time zone,615,615,0.0
sys_assessments,created_by,uuid,615,0,100.0
sys_assessments,updated_at,timestamp with time zone,615,615,0.0
sys_assessments,updated_by,uuid,615,0,100.0
sys_attendance,attendance_id,uuid,3180,3180,0.0
sys_attendance,attendance_tenant_id,uuid,3180,3180,0.0
sys_attendance,attendance_natural_key,character varying,3180,3180,0.0
sys_attendance,attendance_subject_user_id,uuid,3180,3180,0.0
sys_attendance,attendance_date,date,3180,3180,0.0
sys_attendance,attendance_clock_in,time without time zone,3180,3180,0.0
sys_attendance,attendance_clock_out,time without time zone,3180,3180,0.0
sys_attendance,attendance_break_start,time without time zone,3180,0,100.0
sys_attendance,attendance_break_end,time without time zone,3180,0,100.0
sys_attendance,attendance_hours_regular,numeric,3180,3180,0.0
sys_attendance,attendance_hours_overtime,numeric,3180,3180,0.0
sys_attendance,attendance_hours_night,numeric,3180,3180,0.0
sys_attendance,attendance_hours_holiday,numeric,3180,3180,0.0
sys_attendance,attendance_hours_total,numeric,3180,3180,0.0
sys_attendance,attendance_status,character varying,3180,3180,0.0
sys_attendance,attendance_source,character varying,3180,3180,0.0
sys_attendance,attendance_source_reference,text,3180,0,100.0
sys_attendance,attendance_is_validated,boolean,3180,3180,0.0
sys_attendance,attendance_validated_by_user_id,uuid,3180,0,100.0
sys_attendance,attendance_validated_at,timestamp with time zone,3180,0,100.0
sys_attendance,attendance_notes,text,3180,0,100.0
sys_attendance,attendance_metadata,jsonb,3180,3180,0.0
sys_attendance,attendance_created_by,uuid,3180,0,100.0
sys_attendance,attendance_updated_by,uuid,3180,0,100.0
sys_attendance,created_at,timestamp with time zone,3180,3180,0.0
sys_attendance,updated_at,timestamp with time zone,3180,3180,0.0
sys_auth_credentials,auth_credential_id,uuid,12,12,0.0
sys_auth_credentials,auth_credential_identity_id,uuid,12,12,0.0
sys_auth_credentials,auth_credential_algorithm,character varying,12,12,0.0
sys_auth_credentials,auth_credential_hash,text,12,12,0.0
sys_auth_credentials,auth_credential_is_current,boolean,12,12,0.0
sys_auth_credentials,auth_credential_must_rotate,boolean,12,12,0.0
sys_auth_credentials,created_at,timestamp with time zone,12,12,0.0
sys_auth_credentials,rotated_at,timestamp with time zone,12,0,100.0
sys_auth_identities,auth_identity_id,uuid,12,12,0.0
sys_auth_identities,auth_identity_user_id,uuid,12,12,0.0
sys_auth_identities,auth_identity_provider,character varying,12,12,0.0
sys_auth_identities,auth_identity_provider_subject,character varying,12,0,100.0
sys_auth_identities,auth_identity_email_verified,boolean,12,12,0.0
sys_auth_identities,auth_identity_is_active,boolean,12,12,0.0
sys_auth_identities,created_at,timestamp with time zone,12,12,0.0
sys_auth_identities,updated_at,timestamp with time zone,12,12,0.0
sys_auth_login_events,auth_login_event_id,uuid,75847,75847,0.0
sys_auth_login_events,auth_login_event_user_id,uuid,75847,64934,14.4
sys_auth_login_events,auth_login_event_tenant_id,uuid,75847,69444,8.4
sys_auth_login_events,auth_login_event_type,character varying,75847,75847,0.0
sys_auth_login_events,auth_login_event_ip,inet,75847,74236,2.1
sys_auth_login_events,auth_login_event_user_agent,text,75847,73885,2.6
sys_auth_login_events,auth_login_event_details,jsonb,75847,75847,0.0
sys_auth_login_events,created_at,timestamp with time zone,75847,75847,0.0
sys_auth_mfa_factors,auth_mfa_factor_id,uuid,6,6,0.0
sys_auth_mfa_factors,auth_mfa_factor_user_id,uuid,6,6,0.0
sys_auth_mfa_factors,auth_mfa_factor_kind,character varying,6,6,0.0
