entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:4214,name,en,Debt Collectors and Related Workers,HARVEST
sys_occupation_classifications,ISCO_08:422,name,en,Client Information Workers,HARVEST
sys_occupation_classifications,ISCO_08:4221,name,en,Travel Consultants and Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4222,name,en,Contact Centre Information Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4223,name,en,Telephone Switchboard Operators,HARVEST
sys_occupation_classifications,ISCO_08:4224,name,en,Hotel Receptionists,HARVEST
sys_occupation_classifications,ISCO_08:4225,name,en,Inquiry Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4226,name,en,Receptionists (general),HARVEST
sys_occupation_classifications,ISCO_08:4227,name,en,Survey and Market Research Interviewers,HARVEST
sys_occupation_classifications,ISCO_08:4229,name,en,Client Information Workers Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:43,name,en,Numerical and Material Recording Clerks,HARVEST
sys_occupation_classifications,ISCO_08:431,name,en,Numerical Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4311,name,en,Accounting and Bookkeeping Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4312,name,en,"Statistical, Finance and Insurance Clerks",HARVEST
sys_occupation_classifications,ISCO_08:4313,name,en,Payroll Clerks,HARVEST
sys_occupation_classifications,ISCO_08:432,name,en,Material Recording and Transport Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4321,name,en,Stock Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4322,name,en,Production Clerks,HARVEST
sys_occupation_classifications,ISCO_08:4323,name,en,Transport Clerks,HARVEST
